zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count,area_sq_miles,population_density,income_percentile,transit_access_tier,is_tj_gap,log_population_density,density_score,income_score,tj_gap_score,transit_score,site_selection_score,rank
10028,Manhattan,45679,168125.0,168125.0,1.231224872465291,2.0,0.31551000496360315,144778.2931804951,0.941747572815534,medium,0,11.882965745810731,1.0,0.9796954314720813,0.12980697674179983,0.08333333333333333,0.6833852532163802,1
10128,Manhattan,59000,148705.0,148705.0,1.189513827759276,2.0,0.45355354248479346,130083.86987072893,0.8932038834951457,medium,0,11.775942361586475,0.968652820231555,0.9289340101522843,0.1253522744735822,0.08333333333333333,0.6572650855254095,2
11215,Brooklyn,70922,180773.0,180773.0,1.8863289412013078,7.0,2.2113430151544153,32071.912640404007,0.9563106796116505,high,0,10.375767109904134,0.5585410896041227,0.9949238578680203,0.19977150535731325,0.5,0.5871017013801169,3
11226,Brooklyn,100022,81084.0,81084.0,3.5278440644257216,7.0,1.30261707831281,76785.42041652916,0.33980582524271846,high,1,11.248783086008597,0.8142477180389652,0.350253807106599,0.3750838523455167,0.5,0.5632793094613392,4
10036,Manhattan,30589,100225.0,100225.0,1.2326747590217444,4.0,0.44723249021206724,68396.19363408818,0.6941747572815534,medium,0,11.13308707402754,0.7803603231266258,0.7208121827411168,0.1299618233292496,0.25,0.5558395396017796,5
11238,Brooklyn,58462,132957.0,132957.0,1.774699152156733,7.0,1.9368212460168495,30184.509861315,0.8592233009708737,high,0,10.315117282302548,0.5407767377988356,0.8934010152284263,0.18784954372910653,0.5,0.5522308576724622,6
11218,Brooklyn,71313,95916.0,95916.0,3.315765261861725,3.0,1.361942673536631,52361.234716889834,0.6601941747572816,medium,1,10.865940898962005,0.7021131322446369,0.6852791878172589,0.352434025915097,0.16666666666666666,0.547651855035189,7
11225,Brooklyn,56544,85201.0,85201.0,2.5970647934798192,7.0,0.8748350128251458,64633.90144548491,0.3932038834951456,high,0,11.076509813931319,0.763788827505388,0.40609137055837563,0.27567745869806265,0.5,0.5371738653813616,8
11211,Brooklyn,65691,105183.0,105183.0,1.062156855320144,6.0,1.4955872178192653,43923.21572244037,0.7330097087378641,high,0,10.690221057971375,0.6506447406931811,0.7614213197969543,0.11175066372523955,0.4166666666666667,0.535463358971559,9
11209,Brooklyn,70756,92656.0,92656.0,5.066959400914872,3.0,2.1133175385741905,33481.0073301798,0.6407766990291263,medium,1,10.418763478904676,0.5711347383493933,0.6649746192893401,0.5394599936968281,0.16666666666666666,0.527589548901458,10
11216,Brooklyn,59913,95000.0,95000.0,1.989875505852164,2.0,0.9618863106888232,62286.986865521845,0.6553398058252428,medium,0,11.039523858983303,0.7529556307506148,0.6802030456852792,0.2108301858499118,0.08333333333333333,0.5258990508915481,11
11694,Queens,21430,103792.0,103792.0,9.379167857330051,3.0,1.7473286223402127,12264.435965856617,0.7184466019417476,medium,1,9.41454050158525,0.27699754183098385,0.7461928934010152,1.0,0.16666666666666666,0.5223472400826473,12
11372,Queens,66995,77133.0,77133.0,2.7400428725247328,4.0,0.738616489350233,90703.36360746028,0.3106796116504854,medium,0,11.415360745281799,0.8630383619575153,0.31979695431472077,0.29094738966037514,0.25,0.5208540612937613,13
11230,Brooklyn,88252,69522.0,69522.0,4.874770261220074,7.0,1.8429152917529317,47887.171154815835,0.23300970873786409,high,1,10.776623804150908,0.6759521296961475,0.23857868020304568,0.5189343654715117,0.5,0.5088123950235227,14
11214,Brooklyn,88994,64286.0,64286.0,6.201182232000159,6.0,2.0242726206434223,43963.44597681361,0.20388349514563106,high,1,10.69113654027376,0.6509128857206975,0.2081218274111675,0.6605939776071196,0.4166666666666667,0.5070144066624949,15
11103,Queens,35357,92787.0,92787.0,2.081530749739059,2.0,0.6921106228284005,51085.764087118034,0.6456310679611651,medium,0,10.841280722818803,0.6948901596178072,0.6700507614213198,0.22061888392052412,0.08333333333333333,0.5020925309865577,16
11221,Brooklyn,90750,85122.0,85122.0,2.6567173409826945,4.0,1.3809086666060086,65717.59754614689,0.3883495145631068,medium,0,11.093137232090076,0.7686590030271739,0.4010152284263959,0.28204829741809356,0.25,0.5016270678010872,17
10033,Manhattan,53611,75585.0,75585.0,2.7704602972537855,3.0,0.5964421169061422,89884.66521796008,0.28640776699029125,medium,0,11.406293755220334,0.8603826379820907,0.29441624365482233,0.2941959434160741,0.16666666666666666,0.5015963047897567,18
10466,Bronx,74061,66328.0,66328.0,7.760018107701695,4.0,2.016507782273619,36727.35639854362,0.21844660194174756,medium,1,10.511304389610567,0.5982399974930835,0.22335025380710657,0.8270762549082511,0.25,0.49804881343066026,19
11219,Brooklyn,94737,55685.0,55685.0,3.931639225227005,7.0,1.4924131625019013,63479.070260397355,0.13106796116504854,high,1,11.058481281451286,0.7585082651992229,0.1319796954314721,0.41820881436444673,0.5,0.4950399928104466,20
11102,Queens,28349,102996.0,102996.0,2.023945785291378,2.0,0.7018577081145436,40391.37801329586,0.7135922330097088,medium,0,10.6063963831129,0.6260924695155656,0.7411167512690355,0.21446886122154038,0.08333333333333333,0.4911099478677932,21
11223,Brooklyn,78566,63950.0,63950.0,6.458668675583654,6.0,2.069968585138813,37955.16538949373,0.18446601941747573,high,1,10.544187230484665,0.6078713909651646,0.18781725888324874,0.688093299485799,0.4166666666666667,0.49022153100403787,22
10462,Bronx,75452,63460.0,63460.0,5.176064883705517,5.0,1.5035563519585502,50182.35592015912,0.1796116504854369,high,1,10.82343869532787,0.6896642246761508,0.18274111675126903,0.5511123616748562,0.3333333333333333,0.48177344139324885,23
10040,Manhattan,41581,64022.0,64022.0,3.55414682345572,4.0,0.5669922472293846,73336.0997494871,0.18932038834951456,medium,1,11.202821895567777,0.8007856722481014,0.19289340101522842,0.37789296348471624,0.25,0.4816162118499909,24
10467,Bronx,96304,47806.0,47806.0,6.044344499452565,7.0,2.3304212387962315,41324.717779239516,0.0970873786407767,high,1,10.629240291666987,0.6327834568474406,0.09644670050761421,0.6438438480468037,0.5,0.4809938274752406,25
11229,Brooklyn,79802,72556.0,72556.0,6.647356427117472,3.0,2.062921641291412,38683.97054094747,0.2621359223300971,medium,1,10.563206445472279,0.6134421244603993,0.26903553299492383,0.7082449825871665,0.16666666666666666,0.479284729550324,26
11419,Queens,46938,91231.0,91231.0,2.4162412842058,2.0,1.126541960577072,41665.55853450499,0.616504854368932,medium,0,10.63745413244108,0.6351892931532275,0.6395939086294415,0.25636566963625845,0.08333333333333333,0.4777473283459031,27
11204,Brooklyn,81368,67588.0,67588.0,4.896495283750466,4.0,1.594517687562092,51029.85099174791,0.22330097087378642,medium,1,10.840185650222082,0.6945694125418506,0.2284263959390863,0.5212545784468836,0.25,0.4766852796908885,28
11206,Brooklyn,89231,57280.0,57280.0,1.5929523233128817,9.0,1.4009817911302138,63691.76285154619,0.14563106796116504,high,0,11.061826222100255,0.7594879992694732,0.14720812182741116,0.16843914496306184,0.6666666666666666,0.4742850591572544,29
