zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count,area_sq_miles,population_density,income_percentile,transit_access_tier,is_tj_gap,log_population_density
10028,Manhattan,45679,168125.0,168125.0,1.231224872465291,2.0,0.31551000496360315,144778.2931804951,0.941747572815534,medium,0,11.882965745810731
11427,Queens,25124,92129.0,92129.0,5.4054330584996775,0.0,1.5686701531582221,16016.113999120564,0.6310679611650486,low,1,9.681413054525784
11697,Queens,4123,134844.0,134844.0,10.037850780295958,0.0,2.0473920336282405,2013.78140203736,0.8689320388349514,low,1,7.6082659831545625
11004,Queens,14296,109865.0,109865.0,7.351747141053136,0.0,0.9510616352393366,15031.623051856552,0.7718446601941747,low,1,9.617977988601595
10282,Manhattan,5960,250001.0,250001.0,0.8361764128513721,0.0,0.06866698598060542,86795.71288717065,0.9951456310679612,low,0,11.371324029967885
10027,Manhattan,65068,64220.0,64220.0,0.5087890487678723,5.0,0.9428269382803129,69013.72601708009,0.19902912621359223,high,0,11.142075181345866
11432,Queens,63730,75395.0,75395.0,2.9441289120868634,3.0,2.023412951176067,31496.289456365426,0.2815533980582524,medium,0,10.357656772107024
10452,Bronx,76745,37854.0,37854.0,2.3692657988645935,5.0,0.9822036553727765,78135.52676188413,0.038834951456310676,high,0,11.266212918707488
10469,Bronx,69855,76018.0,76018.0,6.671916642264297,3.0,2.4257935686236864,28796.761976590355,0.2961165048543689,medium,1,10.268052953958357
11225,Brooklyn,56544,85201.0,85201.0,2.5970647934798192,7.0,0.8748350128251458,64633.90144548491,0.3932038834951456,high,0,11.076509813931319
11207,Brooklyn,93445,55419.0,55419.0,3.38820376104299,12.0,2.71993664014842,34355.57969280525,0.1262135922330097,high,1,10.444548827860697
11423,Queens,29105,80870.0,80870.0,4.217645525451378,0.0,1.4073791539557738,20680.283574041492,0.33495145631067963,low,1,9.936984395073452
10280,Manhattan,8668,206250.0,206250.0,1.2648835305446895,0.0,0.1067695845779134,81184.16901467538,0.970873786407767,low,0,11.304487861865145
10465,Bronx,46457,90255.0,90255.0,6.637465934282577,0.0,3.9240757048620236,11838.966292734533,0.6116504854368932,low,1,9.379236061536522
11201,Brooklyn,69251,169285.0,169285.0,0.3689244139677448,12.0,1.3690910318355853,50581.73517297306,0.9466019417475728,high,0,10.831365594937713
10009,Manhattan,58341,87963.0,87963.0,0.312854244130481,1.0,0.6167155260265742,94599.53177421074,0.5922330097087378,low,0,11.457418376316038
11358,Queens,36496,88729.0,88729.0,3.755263637896678,0.0,1.9566453144042866,18652.33301678462,0.6019417475728155,low,1,9.833780123141219
10455,Bronx,42940,36701.0,36701.0,2.0212190253870963,5.0,0.70129333825803,61229.727501276924,0.02912621359223301,high,0,11.022404425852942
10310,Staten Island,25824,106118.0,106118.0,3.933865294951174,0.0,1.8024129706422016,14327.460144052826,0.7378640776699029,low,1,9.570003058248101
10177,Manhattan,0,,86543.0,0.7903342629908777,0.0,0.0020929650181027953,0.0,0.5024271844660194,low,0,0.0
10154,Manhattan,0,,86543.0,0.5994153961971781,0.0,0.004780765498431438,0.0,0.5024271844660194,low,0,0.0
11360,Queens,19510,100250.0,100250.0,5.290021118089993,0.0,1.3782773445944325,14155.351298864272,0.6990291262135923,low,1,9.557918657409504
11439,Queens,2171,,86543.0,2.8102350120558572,0.0,0.14881124747334698,14588.951015875595,0.5024271844660194,low,0,9.588088284134608
11366,Queens,12967,117402.0,117402.0,3.599086689447214,0.0,1.5236961494682395,8510.226927150405,0.8058252427184466,low,1,9.049141385928518
10308,Staten Island,29996,122654.0,122654.0,2.656871685961475,1.0,2.210336597766599,13570.783757690571,0.8300970873786407,low,0,9.5157481928042
11424,Queens,0,,86543.0,1.2097952399412704,0.0,0.01894927363627375,0.0,0.5024271844660194,low,0,0.0
11210,Brooklyn,60398,83261.0,83261.0,4.895690039735215,2.0,1.6487780967654282,36631.97620012587,0.3592233009708738,medium,1,10.508704102816916
11109,Queens,7388,198773.0,198773.0,0.564000806864085,0.0,0.04860979683554088,151985.8234543842,0.9660194174757282,low,0,11.931549108270705
11430,Queens,448,,86543.0,5.794876489685234,0.0,7.471450135211268,59.961586023130444,0.5024271844660194,low,1,4.110243928479747
10271,Manhattan,0,,86543.0,1.2423286085524115,0.0,0.0026173593781116545,0.0,0.5024271844660194,low,0,0.0
10461,Bronx,50900,65023.0,65023.0,6.130949977198554,4.0,2.388148092855146,21313.586101415764,0.2087378640776699,medium,1,9.967146910827138
10457,Bronx,79375,44911.0,44911.0,3.620240662883546,3.0,1.3186817984600134,60192.686433297196,0.0825242718446602,medium,1,11.005322749273683
11238,Brooklyn,58462,132957.0,132957.0,1.774699152156733,7.0,1.9368212460168495,30184.509861315,0.8592233009708737,high,0,10.315117282302548
11216,Brooklyn,59913,95000.0,95000.0,1.989875505852164,2.0,0.9618863106888232,62286.986865521845,0.6553398058252428,medium,0,11.039523858983303
11373,Queens,99433,71470.0,71470.0,1.9543927242052601,3.0,1.5117613871506872,65772.94594579353,0.24757281553398058,medium,0,11.093979080630618
10463,Bronx,69373,72952.0,72952.0,6.066290862357018,3.0,2.896360235216435,23951.785816040247,0.2669902912621359,medium,1,10.083839914072152
11378,Queens,37828,84762.0,84762.0,2.3797059004731507,0.0,2.481963914534984,15241.156319183383,0.36893203883495146,low,0,9.631820309991829
10304,Staten Island,45843,71506.0,71506.0,3.9129935749536515,2.0,3.4981909198913663,13104.773595782937,0.2524271844660194,medium,1,9.480808144597715
10040,Manhattan,41581,64022.0,64022.0,3.55414682345572,4.0,0.5669922472293846,73336.0997494871,0.18932038834951456,medium,1,11.202821895567777
11435,Queens,58424,79430.0,79430.0,2.508872629051289,2.0,1.5106376778470476,38675.05812728407,0.32038834951456313,medium,0,10.562976034531362
10171,Manhattan,0,,86543.0,0.7064873828066653,0.0,0.004814815417815664,0.0,0.5024271844660194,low,0,0.0
11418,Queens,36304,84927.0,84927.0,1.3875573969084771,4.0,1.6595327133693392,21876.037578248284,0.3737864077669903,medium,0,9.993192853322162
11372,Queens,66995,77133.0,77133.0,2.7400428725247328,4.0,0.738616489350233,90703.36360746028,0.3106796116504854,medium,0,11.415360745281799
10303,Staten Island,25993,79429.0,79429.0,2.9099181053791336,0.0,3.1839974409306304,8163.63721460865,0.3155339805825243,low,0,9.007567572648755
10039,Manhattan,30512,48792.0,48792.0,1.330776413442083,2.0,0.2991715368294173,101988.31186737341,0.10194174757281553,medium,0,11.532623301162026
11219,Brooklyn,94737,55685.0,55685.0,3.931639225227005,7.0,1.4924131625019013,63479.070260397355,0.13106796116504854,high,1,11.058481281451286
