zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count
11451,Queens,0,,86543.0,3.121270445154308,0.0
11203,Brooklyn,76853,68028.0,68028.0,3.969009868085317,0.0
10454,Bronx,40368,27500.0,27500.0,1.5595079839717287,4.0
11422,Queens,33085,108519.0,108519.0,7.258699420133436,0.0
11229,Brooklyn,79802,72556.0,72556.0,6.647356427117472,3.0
10168,Manhattan,0,,86543.0,0.5285780731304157,0.0
11106,Queens,40657,85573.0,85573.0,1.3478775359625137,2.0
11101,Queens,39007,116807.0,116807.0,0.3787462916204061,13.0
10279,Manhattan,181,250001.0,250001.0,0.9248705260456259,1.0
11231,Brooklyn,39704,138485.0,138485.0,1.0315070519087157,1.0
10459,Bronx,49753,39276.0,39276.0,3.0378800108689257,5.0
11363,Queens,7515,110833.0,110833.0,6.349899015941417,0.0
11692,Queens,23247,49507.0,49507.0,8.830337636606151,2.0
11359,Queens,0,,86543.0,6.055617008984953,0.0
11005,Queens,2195,91719.0,91719.0,7.407255717794687,0.0
10167,Manhattan,0,,86543.0,0.7726204501405894,0.0
10169,Manhattan,0,,86543.0,0.7433948240819355,0.0
10103,Manhattan,0,,86543.0,0.86057414856881,0.0
10112,Manhattan,0,,86543.0,0.9306754012612768,0.0
11236,Brooklyn,95174,82813.0,82813.0,5.428162842490072,2.0
11212,Brooklyn,87946,40060.0,40060.0,4.247968132118801,7.0
11249,Brooklyn,45353,121400.0,121400.0,0.3880956422833311,0.0
11356,Queens,26956,91445.0,91445.0,4.307440004447829,0.0
10475,Bronx,42771,62383.0,62383.0,7.774585012392201,0.0
11371,Queens,0,,86543.0,3.80809457360964,0.0
10031,Manhattan,60305,65067.0,65067.0,1.168878742001852,4.0
11233,Brooklyn,82711,62034.0,62034.0,3.4900520847631697,5.0
10030,Manhattan,30781,42738.0,42738.0,0.7182522258271015,2.0
10312,Staten Island,63345,111434.0,111434.0,2.487204368494696,3.0
11434,Queens,67611,76668.0,76668.0,4.916997544682242,0.0
11433,Queens,37777,71177.0,71177.0,3.6401155562484333,1.0
10460,Bronx,61101,36067.0,36067.0,4.256897406573465,3.0
11691,Queens,68704,57027.0,57027.0,9.101366448143931,4.0
11239,Brooklyn,16047,35675.0,35675.0,4.45640899979682,0.0
10002,Manhattan,75517,46525.0,46525.0,0.015793563248707506,5.0
10005,Manhattan,9238,211810.0,211810.0,1.3417952625395277,3.0
10006,Manhattan,4475,209972.0,209972.0,1.1994160654996713,3.0
11413,Queens,45072,114766.0,114766.0,6.254436910975972,0.0
10466,Bronx,74061,66328.0,66328.0,7.760018107701695,4.0
10013,Manhattan,28215,159474.0,159474.0,0.39038881583339713,8.0
10451,Bronx,48975,37111.0,37111.0,1.4665803147492968,4.0
10014,Manhattan,29772,167254.0,167254.0,0.5854859314082298,4.0
11361,Queens,30402,108391.0,108391.0,4.8640390364170685,0.0
11102,Queens,28349,102996.0,102996.0,2.023945785291378,2.0
10001,Manhattan,29079,123393.0,123393.0,0.6215468520327883,7.0
11105,Queens,38507,100306.0,100306.0,2.887736984218114,1.0
10173,Manhattan,0,,86543.0,0.7041938091230188,0.0
10170,Manhattan,0,,86543.0,0.6223936386777951,1.0
10174,Manhattan,0,,86543.0,0.5596466733689073,0.0
11357,Queens,42341,97754.0,97754.0,4.805439922616248,0.0
10453,Bronx,78270,35482.0,35482.0,3.5121725385013103,3.0
10468,Bronx,79825,46624.0,46624.0,4.799906532805784,3.0
10301,Staten Island,39799,84937.0,84937.0,4.488866495199413,2.0
11215,Brooklyn,70922,180773.0,180773.0,1.8863289412013078,7.0
