zip_code,geoid20,boroname,total_population,median_household_income
10034,10034,Manhattan,39037,69786.0
11205,11205,Brooklyn,50205,86753.0
10044,10044,Manhattan,11998,106146.0
11204,11204,Brooklyn,81368,67588.0
10075,10075,Manhattan,23865,146556.0
11230,11230,Brooklyn,88252,69522.0
11218,11218,Brooklyn,71313,95916.0
10305,10305,Staten Island,41714,86294.0
11220,11220,Brooklyn,90792,64201.0
11208,11208,Brooklyn,106901,59988.0
10012,10012,Manhattan,21846,130938.0
11354,11354,Queens,52325,62833.0
10010,10010,Manhattan,31905,156127.0
10278,10278,Manhattan,0,
10172,10172,Manhattan,0,
10021,10021,Manhattan,39479,156712.0
10162,10162,Manhattan,1769,110349.0
10023,10023,Manhattan,67468,157866.0
10471,10471,Bronx,23400,108738.0
11235,11235,Brooklyn,81958,61689.0
11224,11224,Brooklyn,48469,41449.0
11237,11237,Brooklyn,45233,82570.0
11209,11209,Brooklyn,70756,92656.0
10473,10473,Bronx,59778,50609.0
10011,10011,Manhattan,49344,146571.0
11421,11421,Queens,41937,89439.0
11234,11234,Brooklyn,87778,94434.0
11436,11436,Queens,21364,86104.0
11365,11365,Queens,43258,85375.0
10017,10017,Manhattan,14985,132518.0
10165,10165,Manhattan,0,
10018,10018,Manhattan,8764,133042.0
10022,10022,Manhattan,34340,171038.0
11426,11426,Queens,19638,107591.0
11379,11379,Queens,37378,92509.0
