name,total_population,median_household_income,zip_code
ZCTA5 01034,2100,103603.0,01034
ZCTA5 01035,5299,117580.0,01035
ZCTA5 01036,4937,110703.0,01036
ZCTA5 01037,486,84022.0,01037
ZCTA5 01038,2534,112083.0,01038
ZCTA5 01039,1660,115114.0,01039
ZCTA5 01040,37949,51892.0,01040
ZCTA5 01050,2573,96328.0,01050
ZCTA5 01053,2033,88646.0,01053
ZCTA5 01054,1704,113750.0,01054
ZCTA5 01056,20846,78981.0,01056
ZCTA5 01057,8200,90436.0,01057
ZCTA5 01060,15237,75077.0,01060
ZCTA5 01062,9188,87800.0,01062
ZCTA5 01063,2121,250001.0,01063
ZCTA5 01066,115,,01066
ZCTA5 01068,1623,96207.0,01068
ZCTA5 01069,9077,79725.0,01069
ZCTA5 01070,593,72083.0,01070
ZCTA5 01071,1219,107292.0,01071
ZCTA5 01072,1447,103188.0,01072
ZCTA5 01073,6212,125534.0,01073
ZCTA5 01074,749,76859.0,01074
ZCTA5 01075,17410,93646.0,01075
ZCTA5 01077,9222,108833.0,01077
ZCTA5 01079,282,,01079
ZCTA5 01080,2308,87188.0,01080
ZCTA5 01081,1704,87337.0,01081
ZCTA5 01082,10418,71023.0,01082
ZCTA5 01083,2746,92558.0,01083
ZCTA5 01084,101,91667.0,01084
ZCTA5 01085,41466,83821.0,01085
ZCTA5 01088,654,53472.0,01088
ZCTA5 01089,28635,70401.0,01089
ZCTA5 01092,1123,70938.0,01092
ZCTA5 01093,149,,01093
ZCTA5 01094,64,109000.0,01094
ZCTA5 01095,14615,124682.0,01095
ZCTA5 01096,2566,105729.0,01096
ZCTA5 01097,45,,01097
ZCTA5 01098,1019,93000.0,01098
ZCTA5 01103,2336,21458.0,01103
ZCTA5 01104,21745,47530.0,01104
ZCTA5 01105,11469,22994.0,01105
ZCTA5 01106,15961,143961.0,01106
ZCTA5 01107,12270,31969.0,01107
ZCTA5 01108,27409,51851.0,01108
ZCTA5 01109,31418,46821.0,01109
ZCTA5 01118,15009,80906.0,01118
ZCTA5 01119,14059,59172.0,01119
ZCTA5 01128,3252,92125.0,01128
ZCTA5 01129,5993,92500.0,01129
ZCTA5 01144,0,,01144
ZCTA5 01151,9627,57113.0,01151
ZCTA5 01201,45072,68879.0,01201
ZCTA5 01220,8106,56285.0,01220
ZCTA5 01222,611,84583.0,01222
ZCTA5 01223,2588,82773.0,01223
ZCTA5 01224,201,,01224
ZCTA5 01225,3234,72028.0,01225
ZCTA5 01226,6304,81168.0,01226
ZCTA5 01229,213,,01229
ZCTA5 01230,8813,82871.0,01230
ZCTA5 01235,2456,76699.0,01235
ZCTA5 01236,1593,91172.0,01236
ZCTA5 01237,2269,84419.0,01237
ZCTA5 01238,5893,74469.0,01238
ZCTA5 01240,5024,99745.0,01240
ZCTA5 01242,165,,01242
ZCTA5 01243,196,89063.0,01243
ZCTA5 01244,243,59655.0,01244
ZCTA5 01245,828,113750.0,01245
ZCTA5 01247,14967,55544.0,01247
ZCTA5 01253,903,108068.0,01253
ZCTA5 01254,962,113304.0,01254
ZCTA5 01255,850,85417.0,01255
ZCTA5 01256,733,55000.0,01256
ZCTA5 01257,2331,80227.0,01257
ZCTA5 01258,191,127813.0,01258
ZCTA5 01259,778,125795.0,01259
ZCTA5 01260,20,,01260
ZCTA5 01262,1652,142679.0,01262
ZCTA5 01264,184,85313.0,01264
ZCTA5 01266,919,98828.0,01266
ZCTA5 01267,7985,98750.0,01267
ZCTA5 01270,1002,104961.0,01270
ZCTA5 01301,17876,54347.0,01301
ZCTA5 01330,1711,81691.0,01330
ZCTA5 01331,13865,68345.0,01331
ZCTA5 01337,2515,79274.0,01337
ZCTA5 01338,79,,01338
ZCTA5 01339,1361,72841.0,01339
ZCTA5 01340,1807,82578.0,01340
ZCTA5 01341,1605,93250.0,01341
ZCTA5 01342,1313,100917.0,01342
ZCTA5 01343,190,84271.0,01343
ZCTA5 01344,1639,74550.0,01344
ZCTA5 01346,453,111150.0,01346
ZCTA5 01347,114,72500.0,01347
ZCTA5 01349,753,69712.0,01349
ZCTA5 01350,115,64375.0,01350
ZCTA5 01351,2644,99375.0,01351
ZCTA5 01354,1831,90000.0,01354
ZCTA5 01355,963,80327.0,01355
ZCTA5 01360,2875,102470.0,01360
ZCTA5 01364,7668,54061.0,01364
ZCTA5 01366,1173,107656.0,01366
ZCTA5 01367,574,89375.0,01367
ZCTA5 01368,1497,101875.0,01368
ZCTA5 01370,3641,76715.0,01370
ZCTA5 01373,4784,102578.0,01373
ZCTA5 01375,3653,61442.0,01375
ZCTA5 01376,5032,57857.0,01376
ZCTA5 01378,861,95000.0,01378
ZCTA5 01379,742,68750.0,01379
ZCTA5 01380,32,70893.0,01380
ZCTA5 01420,41677,70334.0,01420
ZCTA5 01430,6450,115146.0,01430
ZCTA5 01431,3188,110536.0,01431
ZCTA5 01432,8124,105142.0,01432
ZCTA5 01434,1889,109651.0,01434
ZCTA5 01436,3720,88421.0,01436
ZCTA5 01438,192,,01438
ZCTA5 01440,21298,63526.0,01440
ZCTA5 01450,11228,189355.0,01450
ZCTA5 01451,5359,206607.0,01451
ZCTA5 01452,4339,102344.0,01452
ZCTA5 01453,43635,82098.0,01453
ZCTA5 01460,10150,146250.0,01460
ZCTA5 01462,11822,109884.0,01462
ZCTA5 01463,11693,126824.0,01463
ZCTA5 01464,7017,121875.0,01464
ZCTA5 01468,4157,110938.0,01468
ZCTA5 01469,6803,113162.0,01469
ZCTA5 01473,8289,101161.0,01473
ZCTA5 01474,2249,130156.0,01474
ZCTA5 01475,10194,85638.0,01475
ZCTA5 01501,16780,101929.0,01501
ZCTA5 01503,3311,122411.0,01503
ZCTA5 01504,9211,98986.0,01504
ZCTA5 01505,4896,124732.0,01505
ZCTA5 01506,3442,71875.0,01506
ZCTA5 01507,13359,119809.0,01507
ZCTA5 01510,15430,93849.0,01510
ZCTA5 01515,2120,76382.0,01515
ZCTA5 01516,9287,147859.0,01516
ZCTA5 01518,2835,111193.0,01518
ZCTA5 01519,7738,153750.0,01519
ZCTA5 01520,16864,147582.0,01520
ZCTA5 01521,2576,86806.0,01521
ZCTA5 01522,3021,118824.0,01522
ZCTA5 01523,8470,130444.0,01523
ZCTA5 01524,6110,93191.0,01524
ZCTA5 01525,0,,01525
ZCTA5 01527,13899,116000.0,01527
ZCTA5 01529,3156,115789.0,01529
ZCTA5 01531,925,99375.0,01531
ZCTA5 01532,15694,174358.0,01532
ZCTA5 01534,6097,134539.0,01534
ZCTA5 01535,4739,81010.0,01535
ZCTA5 01536,7119,105795.0,01536
ZCTA5 01537,1821,94261.0,01537
ZCTA5 01540,11521,118389.0,01540
ZCTA5 01541,3500,150577.0,01541
ZCTA5 01542,2572,107674.0,01542
ZCTA5 01543,9202,155504.0,01543
ZCTA5 01545,38440,136225.0,01545
ZCTA5 01550,17806,59397.0,01550
ZCTA5 01560,4914,98884.0,01560
ZCTA5 01561,0,,01561
ZCTA5 01562,11961,79086.0,01562
ZCTA5 01564,8111,136027.0,01564
ZCTA5 01566,7054,135802.0,01566
ZCTA5 01568,7926,161429.0,01568
ZCTA5 01569,14127,122458.0,01569
ZCTA5 01570,17674,68934.0,01570
ZCTA5 01571,11886,85179.0,01571
ZCTA5 01581,21591,134474.0,01581
ZCTA5 01583,7516,100427.0,01583
ZCTA5 01585,4942,70753.0,01585
ZCTA5 01588,10357,88735.0,01588
ZCTA5 01590,9287,155938.0,01590
ZCTA5 01602,25791,94351.0,01602
ZCTA5 01603,21034,63646.0,01603
ZCTA5 01604,39988,72911.0,01604
ZCTA5 01605,31086,54805.0,01605
